africk's	africa's
harmonizes	harmonises
harmonizing	harmonising
harrangue	harangue
harrangued	harangued
hastie	hasty
haue	have
hav	have
haveing	having
havock	havoc
hawke	hawk
hawling	hauling
hazle	hazel
headach	headache
heare	hear
heark	hark
hearkee	harkee
heartie	hearty
heavenlie	heavenly
heavie	heavy
hed	head
heighth	height
heightned	heightened
helpe	help
helpt	helped
hematological	haematological
hematologist	haematologist
hematologists	haematologists
hematology	haematology
hemoglobin	haemoglobin
hemophilia	haemophilia
hemophiliac	haemophiliac
hemophiliacs	haemophiliacs
hemorrhage	haemorrhage
hemorrhaged	haemorrhaged
hemorrhages	haemorrhages
hemorrhaging	haemorrhaging
hemorrhoids	haemorrhoids
heresie	heresy
heretick	heretic
hereticks	heretics
heroe	hero
heroick	heroic
heroicks	heroics
herse	hearse
herselfe	herself
hieroglyphicks	hieroglyphics
hiftorie	history
himsel	himself
himselfe	himself
hinderance	hindrance
hindred	hindered
hindring	hindering
historie	history
hobbie	hobby
hoftilitie	hostility
holde	hold
holden	held
hollinshed	holinshed
holyday	holiday
homeopath	homoeopath
homeopathic	homoeopathic
homeopaths	homoeopaths
homeopathy	homoeopathy
homewards	homeward
homogenize	homogenise
homogenized	homogenised
homogenizes	homogenises
homogenizing	homogenising
honestie	honesty
hongrie	hungry
honied	honeyed
honor	honour
honorable	honourable
honorably	honourably
honored	honoured
honoring	honouring
honors	honours
hooke	hook
horne	horn
horrida	horridam
horrour	horror
horrours	horrors
hospitalization	hospitalisation
hospitalize	hospitalise
hospitalized	hospitalised
hospitalizes	hospitalises
hospitalizing	hospitalising
hoste	host
hostes	hosts
hould	hold
hous	house
houshold	household
hugonots	huguenots
humanitie	humanity
humanize	humanise
humanized	humanised
humanizes	humanises
humanizing	humanising
humilitie	humility
humor	humour
humored	humoured
humoring	humouring
humorless	humourless
humors	humours
hundreth	hundredth
husht	hushed
hybridize	hybridise
hybridized	hybridised
hybridizes	hybridises
hybridizing	hybridising
hye	hie
hym	him
hypnotize	hypnotise
hypnotized	hypnotised
hypnotizes	hypnotises
hypnotizing	hypnotising
hypocrifie	hypocrisy
hypocrisie	hypocrisy
hypothesize	hypothesise
hypothesized	hypothesised
hypothesizes	hypothesises
hypothesizing	hypothesising
hys	his
idealization	idealisation
idealize	idealise
idealized	idealised
idealizes	idealises
idealizing	idealising
ideot	idiot
ideots	idiots
idolatrie	idolatry
idolize	idolise
idolized	idolised
idolizes	idolises
idolizing	idolising
ile	isle
iles	isles
imagin	imagine
imbark	embark
imbarked	embarked
imbarking	embarking
imbarks	embarks
imbitter	embitter
imbittered	embittered
imbrown	embrown
imbrowned	embrowned
immediatlie	immediately
immediatly	immediately
immobilization	immobilisation
immobilize	immobilise
immobilized	immobilised
immobilizer	immobiliser
immobilizers	immobilisers
immobilizes	immobilises
immobilizing	immobilising
immortalize	immortalise
immortalized	immortalised
immortalizes	immortalises
immortalizing	immortalising
immunization	immunisation
immunize	immunise
immunized	immunised
immunizes	immunises
immunizing	immunising
impaneled	impanelled
impaneling	impanelling
impassible	impassable
impells	impels
imperiled	imperilled
imperiling	imperilling
impietie	impiety
implicitely	implicitly
imploy	employ
imployed	employed
imploying	employing
imployment	employment
imployments	employments
imploys	employs
impolitick	impolitic
impower	empower
imprest	impressed
impurpled	empurpled
inchanted	enchanted
inchanting	enchanting
inchantment	enchantment
inchantments	enchantments
incircled	encircled
incircling	encircling
inclose	enclose
inclosed	enclosed
incloses	encloses
inclosing	enclosing
inclosure	enclosure
inclosures	enclosures
incompleat	incomplete
incontestible	incontestable
inconveniencies	inconveniences
incourage	encourage
incouragement	encouragement
incroach	encroach
incroaching	encroaching
incroachment	encroachment
incumber	encumber
incumbered	encumbered
incumbering	encumbering
incumbers	encumbers
incumbrance	encumbrance
incumbrances	encumbrances
independance	independence
independant	independent
individualize	individualise
individualized	individualised
individualizes	individualises
individualizing	individualising
indorse	endorse
indorsed	endorsed
indorsee	endorsee
indorsees	endorsees
indorsement	endorsement
indorser	endorser
indorsers	endorsers
indorses	endorses
indorsing	endorsing
indue	endue
indued	endued
indues	endues
induftrie	industry
induing	enduing
indure	endure
industrialize	industrialise
industrialized	industrialised
industrializes	industrialises
industrializing	industrialising
industrie	industry
inexcuseable	inexcusable
infancie	infancy
inferiour	inferior
inflection	inflexion
inflections	inflexions
inflid	inflict
infliet	inflict
inflieted	inflicted
inflinct	instinct
inflituted	instituted
inflitution	institution
inflitutions	institutions
infold	enfold
inforce	enforce
inforced	enforced
inforces	enforces
inforcing	enforcing
informe	inform
ingage	engage
ingaged	engaged
ingaging	engaging
ingulph	engulf
ingulphed	engulfed
iniquitie	iniquity
initialed	initialled
initialing	initialling
injoin	enjoin
injoined	enjoined
injoins	enjoins
injur	injure
inlarge	enlarge
inlarged	enlarged
inlarges	enlarges
inlarging	enlarging
inlift	enlist
inlifted	enlisted
inlifting	enlisting
inlist	enlist
inlisted	enlisted
inlluence	influence
innervate	enervate
innervated	enervated
innervation	enervation
innes	inns
innocence	innocence
innocencie	innocence
innocency	innocence
innocente	innocent
inrich	enrich
inriched	enriched
inriches	enriches
inriching	enriching
inrolled	enrolled
inseperable	inseparable
inshrine	enshrine
inshrined	enshrined
insnare	ensnare
insolencies	insolences
install	instal
installment	instalment
installments	instalments
installs	instals
instill	instil
instills	instils
institutionalization	institutionalisation
institutionalize	institutionalise
institutionalized	institutionalised
institutionalizes	institutionalises
institutionalizing	institutionalising
intangled	entangled
intellectualize	intellectualise
intellectualized	intellectualised
intellectualizes	intellectualises
intellectualizing	intellectualising
intermixt	intermixed
internalization	internalisation
internalize	internalise
internalized	internalised
internalizes	internalises
internalizing	internalising
internationalization	internationalisation
internationalize	internationalise
internationalized	internationalised
internationalizes	internationalises
internationalizing	internationalising
intice	entice
inticing	enticing
intire	entire
intirely	entirely
intitle	entitle
intitled	entitled
intitles	entitles
intituled	entitled
intollerable	intolerable
intrails	entrails
intreat	entreat
intreated	entreated
intreaties	entreaties
intreating	entreating
intreaty	entreaty
intrench	entrench
intrenched	entrenched
intrenches	entrenches
intrenching	entrenching
intrenchment	entrenchment
intrinfick	intrinsic
intrinsick	intrinsic
intrusted	entrusted
intrusting	entrusting
inuendo	innuendo
invenom	envenom
invenomed	envenomed
ionization	ionisation
ionize	ionise
ionized	ionised
ionizer	ioniser
ionizers	ionisers
ionizes	ionises
ionizing	ionising
irresistable	irresistible
irresistably	irresistible
ismael	ishmael
italicize	italicise
italicized	italicised
italicizes	italicises
italicizing	italicising
itemize	itemise
itemized	itemised
itemizes	itemises
itemizing	itemising
jackall	jackal
jail	gaol
jailbird	gaolbird
jailbirds	gaolbirds
jailbreak	gaolbreak
jailbreaks	gaolbreaks
jailed	gaoled
jailer	gaoler
jailers	gaolers
jailing	gaoling
jails	gaols
jayl	gaol
jealoufie	jealousy
jealousie	jealousy
jeopardize	jeopardise
jeopardized	jeopardised
jeopardizes	jeopardises
jeopardizing	jeopardising
jeweled	jewelled
jeweler	jeweller
jewelers	jewellers
jewell	jewel
jewelry	jewellery
jigg	jig
joannes	johannes
joannis	johannis
jobb	job
johanne	johan
journies	journeys
joye	joy
joyn	join
joyned	joined
joyning	joining
joyns	joins
judg	judge
judgment	judgement
junck	junk
juste	just
justifie	justify
kalendar	calendar
keene	keen
keepe	keep
kepe	keep
ketch	catch
kidnies	kidneys
kilogram	kilogramme
kilograms	kilogrammes
kilometer	kilometre
kilometers	kilometres
kinge	king
kist	kissed
kitchin	kitchen
kno	know
knowe	know
knowlege	knowledge
kyng	king
kynge	king
labeled	labelled
labeling	labelling
labor	labour
labore	labour
labored	laboured
laborer	labourer
laborers	labourers
laboring	labouring
labors	labours
lacedæmon	lacedaemon
lacedæmonian	lacedaemonian
lacedæmonians	lacedaemonians
lackluster	lacklustre
lacquey	lackey
lacqueys	lackeys
lacquies	lackeys
ladie	lady
lampe	lamp
landaff	llandaff
lande	land
landes	lands
landskips	landscapes
langour	languor
lanthorn	lantern
larum	alarm
latelie	lately
latere	later
latine	latin
laught	laughed
launce	lance
launcelot	lancelot
launces	lances
laureat	laureate
lawe	law
lawes	laws
lawfull	lawful
lawfullie	lawfully
lawrel	laurel
lawrels	laurels
layed	laid
leake	leak
leant	leaned
leaped	leapt
learnt	learned
leasure	leisure
legalization	legalisation
legalize	legalise
legalized	legalised
legalizes	legalises
legalizing	legalising
legat	legate
legge	leg
legitimize	legitimise
legitimized	legitimised
legitimizes	legitimises
legitimizing	legitimising
leipsic	leipzig
lenth	length
lesse	less
lethargick	lethargic
lett	let
lette	let
lettres	letters
leud	lewd
leukemia	leukaemia
leve	leave
leveled	levelled
leveler	leveller
levelers	levellers
leveling	levelling
lewes	lews
ley	lay
libeled	libelled
libeling	libelling
libelous	libellous
liberalization	liberalisation
liberalize	liberalise
liberalized	liberalised
liberalizes	liberalises
liberalizing	liberalising
librarie	library
licenced	licensed
licencing	licensing
license	licence
licenses	licences
lightening	lightning
likelyhood	likelihood
lillies	lilies
lilly	lily
limite	limit
limitted	limited
lingring	lingering
linnen	linen
lionization	lionisation
lionize	lionise
lionized	lionised
lionizes	lionises
lionizing	lionising
liquidize	liquidise
liquidized	liquidised
liquidizer	liquidiser
liquidizers	liquidisers
liquidizes	liquidises
liquidizing	liquidising
liquour	liquor
liquours	liquors
listned	listened
listning	listening
liter	litre
liters	litres
lites	lights
litle	little
littel	little
litteral	literal
litterally	literally
loaths	loathes
localize	localise
localized	localised
localizes	localises
localizing	localising
lodgment	lodgement
logick	logic
longe	long
looke	look
lookt	looked
lopt	lopped
lorde	lord
lordes	lords
louver	louvre
louvered	louvred
louvers	louvres
lowe	low
lowring	lowering
loyaltie	loyalty
lud	lord
lunatick	lunatic
lunaticks	lunatics
luster	lustre
lyable	liable
lyar	liar
lyars	liars
lyes	lies
lyfe	life
lyke	like
lyme	lime
lyon	lion
lyrick	lyric
mackarel	mackerel
madamoiselle	mademoiselle
madona	madonna
maestricht	maastricht
magick	magic
magnetize	magnetise
magnetized	magnetised
magnetizes	magnetises
magnetizing	magnetising
magnifick	magnific
magpye	magpie
maie	may
maieftie	majesty
maintainance	maintenance
maister	master
majeftick	majestic
majeftie	majesty
majestick	majestic
majestie	majesty
mak	make
makeing	making
maladie	malady
malecontent	malcontent
mandarines	mandarins
maner	manner
manere	manner
maneuver	manoeuvre
maneuverability	manoeuvrability
maneuverable	manoeuvrable
maneuvered	manoeuvred
maneuvering	manoeuvring
maneuverings	manoeuvrings
maneuvers	manoeuvres
manie	many
manifestlie	manifestly
manne	man
mannor	manor
manour	manor
marche	march
mareschal	marshal
margent	margin
marginalization	marginalisation
marginalize	marginalise
marginalized	marginalised
marginalizes	marginalises
marginalizing	marginalising
mariage	marriage
marke	mark
marle	marl
marque	mark
marquiss	marquis
marr	mar
marryed	married
marshaled	marshalled
marshaling	marshalling
marshall	marshal
marte	mart
marveled	marvelled
marveling	marvelling
marvelous	marvellous
marvelously	marvellously
masse	mass
materialization	materialisation
materialize	materialise
materialized	materialised
materializes	materialises
materializing	materialising
mathematicks	mathematics
mathew	matthew
mathews	matthews
mattins	matins
mattrass	mattress
maxime	maxim
maximization	maximisation
maximize	maximise
maximized	maximised
maximizes	maximises
maximizing	maximising
maye	may
mayne	main
mayst	mayest
meade	mead
meager	meagre
meandring	meandering
meanes	means
mechanick	mechanic
mechanicks	mechanics
mechanization	mechanisation
mechanize	mechanise
mechanized	mechanised
mechanizes	mechanises
mechanizing	mechanising
medieval	mediaeval
medling	meddling
medly	medley
mee	me
meer	mere
meerly	merely
melancholly	melancholy
melvil	melville
memoires	memoirs
memorandums	memoranda
memorialize	memorialise
memorialized	memorialised
memorializes	memorialises
memorializing	memorialising
memorie	memory
memorize	memorise
memorized	memorised
memorizes	memorises
memorizing	memorising
mene	mean
merchandize	merchandise
mercie	mercy
mery	merry
mesmerize	mesmerise
mesmerized	mesmerised
mesmerizes	mesmerises
mesmerizing	mesmerising
messuage	message
metabolize	metabolise
metabolized	metabolised
metabolizes	metabolises
metabolizing	metabolising
metaphysicks	metaphysics
meteorologie	meteorology
meter	metre
meters	metres
methodize	methodise
micrometer	micrometre
micrometers	micrometres
midwifry	midwifery
mie	my
miferie	misery
mightie	mighty
militarize	militarise
militarized	militarised
militarizes	militarises
militarizing	militarising
milligram	milligramme
milligrams	milligrammes
milliliter	millilitre
milliliters	millilitres
millimeter	millimetre
millimeters	millimetres
mimick	mimic
mimickry	mimicry
mimicks	mimics
minde	mind
miniaturization	miniaturisation
miniaturize	miniaturise
miniaturized	miniaturised
miniaturizes	miniaturises
miniaturizing	miniaturising
minibusses	minibuses
minimize	minimise
minimized	minimised
minimizes	minimises
minimizing	minimising
ministrie	minstry
ministring	ministering
mirrour	mirror
misbehavior	misbehaviour
misdemeanor	misdemeanour
misdemeanors	misdemeanours
mistery	mystery
mistick	mystic
miter	mitre
miters	mitres
mixt	mixed
mizen	mizzen
mobilization	mobilisation
mobilize	mobilise
mobilized	mobilised
mobilizes	mobilises
mobilizing	mobilising
modeftie	modestie
modeled	modelled
modeler	modeller
modelers	modellers
modeling	modelling
modernize	modernise
modernized	modernised
modernizes	modernises
modernizing	modernising
modestie	modesty
moisturize	moisturise
moisturized	moisturised
moisturizer	moisturiser
moisturizers	moisturisers
moisturizes	moisturises
moisturizing	moisturising
mold	mould
molded	moulded
molder	moulder
moldered	mouldered
moldering	mouldering
molders	moulders
moldier	mouldier
moldiest	mouldiest
molding	moulding
moldings	mouldings
molds	moulds
moldy	mouldy
molt	moult
molted	moulted
molten	melted
molting	moulting
molts	moults
molyneux	molineux
monarchie	monarchy
monarque	monarch
monastick	monastic
monastry	monastery
moneth	month
mongst	amongst
monied	moneyed
monies	moneys
monkies	monkeys
monolog	monologue
monologs	monologues
monopolization	monopolisation
monopolize	monopolise
monopolized	monopolised
monopolizes	monopolises
monopolizing	monopolising
mony	money
moralize	moralise
moralized	moralised
moralizes	moralises
moralizing	moralising
morne	morn
mortifie	mortify
moste	most
motorized	motorised
mought	might
mouldring	mouldering
moveable	movable
moveables	movables
moyle	moil
multicolored	multicoloured
murmure	murmur
murther	murder
murthered	murdered
murtherer	murderer
murtherers	murderers
murthering	murdering
murthers	murders
musick	music
mussulman	musulman
mustache	moustache
mustached	moustached
mustaches	moustaches
mustachioed	moustachioed
myn	mine
mynde	mind
myne	mine
mystick	mystic
nathless	natheless
nationalization	nationalisation
nationalizations	nationalisations
nationalize	nationalise
nationalized	nationalised
nationalizes	nationalises
nationalizing	nationalising
naturalization	naturalisation
naturalize	naturalise
naturalized	naturalised
naturalizes	naturalises
naturalizing	naturalising
naught	nought
neceffarie	necessary
necessarie	necessary
necessitie	necessity
neer	near
negociate	negotiate
negociated	negotiated
negociating	negotiating
negociation	negotiation
negociations	negotiations
negociator	negotiator
neice	niece
neighbor	neighbour
neighborhood	neighbourhood
neighborhoods	neighbourhoods
neighboring	neighbouring
neighborliness	neighbourliness
neighborly	neighbourly
neighbors	neighbours
nett	net
neutralization	neutralisation
neutralize	neutralise
neutralized	neutralised
neutralizes	neutralises
neutralizing	neutralising
newbery	newberry
nich	niche
nipt	nipped
nobilitie	nobility
noe	no
nonsence	nonsense
normalization	normalisation
normalize	normalise
normalized	normalised
normalizes	normalises
normalizing	normalising
notifie	notify
nowe	now
numbred	numbered
nunquam	numquam
nurst	nursed
nusance	nuisance
nutt	nut
oates	oats
obeysance	obeisance
occured	occurred
odly	oddly
odor	odour
odorless	odourless
odors	odours
oeconomical	economical
oeconomy	economy
offense	offence
offenses	offences
oftner	oftener
oker	ochre
olde	old
omelet	omelette
omelets	omelettes
onely	only
onlie	only
ony	any
opake	opaque
ope	open
openlie	openly
opes	opens
opportunitie	opportunity
opprest	oppressed
opticks	optics
optimize	optimise
optimized	optimised
optimizes	optimises
optimizing	optimising
oratione	oration
orbe	orb
ordre	order
organization	organisation
organizational	organisational
organizations	organisations
organize	organise
organized	organised
organizer	organiser
organizers	organisers
organizes	organises
organizing	organising
orientale	oriental
orthopedic	orthopaedic
orthopedics	orthopaedics
ostracize	ostracise
ostracized	ostracised
ostracizes	ostracises
ostracizing	ostracising
othe	oath
ould	old
ound	owned
ourself	ourselves
outmaneuver	outmanoeuvre
outmaneuvered	outmanoeuvred
outmaneuvering	outmanoeuvring
outmaneuvers	outmanoeuvres
outragious	outrageous
outstript	outstripped
overborn	overborne
overburthened	overburdened
overemphasize	overemphasise
overemphasized	overemphasised
overemphasizes	overemphasises
overemphasizing	overemphasising
overlie	overly
owne	own
oxidization	oxidisation
oxidize	oxidise
oxidized	oxidised
oxidizes	oxidises
oxidizing	oxidising
oyl	oil
pacifick	pacific
pacquets	packets
paire	pair
pajama	pyjama
pajamas	pyjamas
paleolithic	palaeolithic
paleontologist	palaeontologist
paleontologists	palaeontologists
paleontology	palaeontology
pallisadoes	palisades
panegyrick	panegyric
panegyricks	panegyrics
paneled	panelled
paneling	panelling
panelist	panellist
panelists	panellists
panick	panic
pannels	panels
papistrie	papistry
paradice	paradise
paralytick	paralytic
paralyze	paralyse
paralyzed	paralysed
paralyzes	paralyses
paralyzing	paralysing
parceled	parcelled
parceling	parcelling
parentes	parents
parlement	parliament
parlor	parlour
parlors	parlours
parly	parley
paroxism	paroxysm
partes	parts
particularize	particularise
particularized	particularised
particularizes	particularises
particularizing	particularising
particulary	particularly
partie	party
partizans	partisans
partlie	partly
passe	pass
passivization	passivisation
passivize	passivise
passivized	passivised
passivizes	passivises
passivizing	passivising
pasteurization	pasteurisation
pasteurize	pasteurise
pasteurized	pasteurised
pasteurizes	pasteurises
pasteurizing	pasteurising
pathetick	pathetic
patrimonie	patrimony
patriotick	patriotic
patrole	patrol
patronize	patronise
patronized	patronised
patronizes	patronises
patronizing	patronising
patronizingly	patronisingly
paultry	paltry
pavillion	pavilion
payed	paid
payne	pain
pearch	perch
pease	peas
pecock	peacock
pedaled	pedalled
pedaling	pedalling
pedantick	pedantic
pederast	paederast
pederasts	paederasts
pedestrianization	pedestrianisation
pedestrianize	pedestrianise
pedestrianized	pedestrianised
pedestrianizes	pedestrianises
pedestrianizing	pedestrianising
pediatric	paediatric
pediatrician	paediatrician
pediatricians	paediatricians
pediatrics	paediatrics
pedophile	paedophile
pedophiles	paedophiles
pedophilia	paedophilia
peele	peel
peice	piece
peices	pieces
peine	pain
penalize	penalise
penalized	penalised
penalizes	penalises
penalizing	penalising
penciled	pencilled
penciling	pencilling
pennance	penance
peny	penny
perche	perch
pere	peer
perfeck	perfect
perfectlie	perfectly
perplext	perplexed
perriwig	periwig
perriwigs	periwigs
persidious	perfidious
persidy	perfidy
personalize	personalise
personalized	personalised
personalizes	personalises
personalizing	personalising
persone	person
personne	person
persue	pursue
persued	pursued
persume	presume
perswade	persuade
perswaded	persuaded
perswades	persuades
perswading	persuading
perswasion	persuasion
perswasions	persuasions
perswasive	persuasive
phaenomena	phenomena
phantasie	fantasy
phantastic	fantastic
phantasy	fantasy
phantome	phantom
pharmacopeia	pharmacopoeia
pharmacopeias	pharmacopoeias
phebe	phoebe
phenix	phoenix
philologie	philology
philosophick	philosophic
philosophie	philosophy
philosophize	philosophise
philosophized	philosophised
philosophizes	philosophises
philosophizing	philosophising
phlegmatick	phlegmatic
phoenomena	phenomena
phrensy	frenzy
phrenzy	frenzy
physick	physic
physicks	physics
phænomena	phenomena
phœbus	phoebus
phœnicia	phoenicia
phœnicians	phoenicians
pickt	picked
pidgeon	pigeon
pidgeons	pigeons
pinacle	pinnacle
pindarick	pindaric
pistole	pistol
pitty	pity
pzazz	pizzazz
plagiarize	plagiarise
plagiarized	plagiarised
plagiarizes	plagiarises
plagiarizing	plagiarising
plaine	plain
plaister	plaster
plaistered	plastered
plaistering	plastering
plaisters	plasters
platonick	platonic
platted	plaited
pleasaunce	pleasance
plein	plain
plow	plough
plowed	ploughed
plowing	ploughing
plowman	ploughman
plowmen	ploughmen
plows	ploughs
plowshare	ploughshare
plowshares	ploughshares
pluckt	plucked
plyant	pliant
plyed	plied
poefie	poesy
poesie	poesy
poete	poet
poetes	poets
poetick	poetic
poetrie	poetry
poictiers	poitiers
poize	poise
poized	poised
poizes	poises
polarization	polarisation
polarize	polarise
polarized	polarised
polarizes	polarises
polarizing	polarising
policie	policy
politicization	politicisation
politicize	politicise
politicized	politicised
politicizes	politicises
politicizing	politicising
politick	politic
politickly	politicly
politicks	politics
politique	politic
pondere	ponder
ponyard	poigniard
poole	pool
poore	poor
popt	popped
popularization	popularisation
popularize	popularise
popularized	popularised
popularizes	popularises
popularizing	popularising
porte	port
posses	possess
possest	possessed
postcript	postscript
poste	post
posteritie	posterity
pouf	pouffe
poufs	pouffes
pourtray	portray
pourtrayed	portrayed
pourtraying	portraying
pourtrays	portrays
poyson	poison
practiced	practised
practices	practises
practicing	practising
practise	practice
praeternatural	preternatural
preceeded	preceded
preceeding	preceding
prefered	preferred
prefering	preferring
prefixt	prefixed
premisses	premises
presente	present
presidium	praesidium
presidiums	praesidiums
presse	press
pressurization	pressurisation
pressurize	pressurise
pressurized	pressurised
pressurizes	pressurises
pressurizing	pressurising
prest	pressed
pretense	pretence
pretenses	pretences
prethee	prithee
pretious	precious
primeval	primaeval
princesse	princess
prioritization	prioritisation
prioritize	prioritise
prioritized	prioritised
prioritizes	prioritises
prioritizing	prioritising
privatization	privatisation
privatizations	privatisations
privatize	privatise
privatized	privatised
privatizes	privatises
privatizing	privatising
privie	privy
priviledge	privilege
priviledges	privileges
professionalization	professionalisation
professionalize	professionalise
professionalized	professionalised
professionalizes	professionalises
professionalizing	professionalising
profest	professed
prognostick	prognostic
program	programme
programs	programmes
prolifick	prolific
prolog	prologue
prologs	prologues
propagandize	propagandise
propagandized	propagandised
propagandizes	propagandises
propagandizing	propagandising
propertie	property
prophanation	profanation
prophane	profane
prophanely	profanely
prophaneness	profaneness
prophesie	prophecy
prophesies	prophecies
prophetick	prophetic
propre	proper
propt	propped
proselytize	proselytise
proselytized	proselytised
proselytizer	proselytiser
proselytizers	proselytisers
proselytizes	proselytises
proselytizing	proselytising
prosessed	processed
prosession	procession
prosperitie	prosperity
prythee	prithee
præternatural	preternatural
prætorian	praetorian
psychoanalyze	psychoanalyse
psychoanalyzed	psychoanalysed
psychoanalyzes	psychoanalyses
psychoanalyzing	psychoanalysing
ptolomy	ptolemy
publica	publicam
publicize	publicise
publicized	publicised
publicizes	publicises
publicizing	publicising
publick	public
publickly	publicly
publique	public
pulverization	pulverisation
pulverize	pulverise
pulverized	pulverised
pulverizes	pulverises
pulverizing	pulverising
pummel	pummelled
pummeled	pummelling
purchas	purchase
puritie	purity
putt	put
pye	pie
pyes	pies
pyle	pile
pyrates	pirates
qualifie	qualify
qualitie	quality
quantitie	quantity
quarreled	quarrelled
quarreling	quarrelling
queene	queen
quene	queen
quickning	quickening
quippe	quip
quire	choir
rabbins	rabbis
radicalize	radicalise
radicalized	radicalised
radicalizes	radicalises
radicalizing	radicalising
railery	raillery
rallyed	rallied
rancor	rancour
randomize	randomise
randomized	randomised
randomizes	randomises
randomizing	randomising
rase	raze
rationalization	rationalisation
rationalizations	rationalisations
rationalize	rationalise
rationalized	rationalised
rationalizes	rationalises
rationalizing	rationalising
ratling	rattling
raveled	ravelled
raveling	ravelling
rayment	raiment
reade	read
readie	ready
reafonabie	reasonable
realizable	realisable
realization	realisation
realizations	realisations
realize	realise
realized	realised
realizes	realises
realizing	realising
realme	realm
rebelles	rebels
recal	recall
recals	recalls
recognizable	recognisable
recognizably	recognisably
recognizance	recognisance
recognize	recognise
recognized	recognised
recognizes	recognises
recognizing	recognising
recompence	recompense
recompenced	recompensed
recompences	recompenses
reconnoiter	reconnoitre
reconnoitered	reconnoitred
reconnoitering	reconnoitring
reconnoiters	reconnoitres
rectifie	rectify
redrest	redressed
referre	refer
reflexion	reflection
refueled	refuelled
refueling	refuelling
registred	registered
regreted	regretted
regularization	regularisation
regularize	regularise
regularized	regularised
regularizes	regularises
regularizing	regularising
rejoyce	rejoice
rejoyced	rejoiced
rejoycing	rejoicing
relick	relic
relicks	relics
relie	rely
religione	religion
relique	relic
reliques	relics
remedie	remedy
remembred	remembered
remembring	remembering
remodeled	remodelled
remodeling	remodelling
remold	remould
remolded	remoulded
remolding	remoulding
remolds	remoulds
removeable	removable
rendre	render
rendred	rendered
rendring	rendering
reorganization	reorganisation
reorganizations	reorganisations
reorganize	reorganise
reorganized	reorganised
reorganizes	reorganises
reorganizing	reorganising
repell	repel
replyed	replied
represt	repressed
republick	republic
republicks	republics
resined	resigned
reste	rest
reveled	revelled
reveler	reveller
revelers	revellers
reveling	revelling
revery	reverie
revitalize	revitalise
revitalized	revitalised
revitalizes	revitalises
revitalizing	revitalising
revolutionize	revolutionise
revolutionized	revolutionised
revolutionizes	revolutionises
revolutionizing	revolutionising
rhapsodize	rhapsodise
rhapsodized	rhapsodised
rhapsodizes	rhapsodises
rhapsodizing	rhapsodising
rhetorick	rhetoric
rhiming	rhyming
riband	ribbon
ribands	ribbons
ribband	ribbon
ribbands	ribbons
riche	rich
richlieu	richelieu
rigor	rigour
rigors	rigours
rime	rhyme
rimes	rhymes
risqued	risked
ritualized	ritualised
rivaled	rivalled
rivaling	rivalling
rivetted	riveted
rolle	roll
romanticize	romanticise
romanticized	romanticised
romanticizes	romanticises
romanticizing	romanticising
romantick	romantic
rooke	rook
roome	room
roseat	roseate
rosie	rosy
rosse	rose
rouze	rouse
rouzed	roused
rowe	row
rowl	roll
rowling	rolling
royale	royal
rubrick	rubric
ruine	ruin
ruines	ruins
rumor	rumour
rumored	rumoured
rumors	rumours
rustick	rustic
rusticks	rustics
ryder	rider
saber	sabre
sabers	sabres
saide	said
saie	say
sailers	sailors
sainte	saint
salique	salic
sall	shall
sallad	salad
sallads	salads
sallary	salary
saltpeter	saltpetre
sanitize	sanitise
sanitized	sanitised
sanitizes	sanitises
sanitizing	sanitising
sarcastick	sarcastic
sarvant	servant
sate	sat
satirize	satirise
satirized	satirised
satirizes	satirises
satirizing	satirising
satisfie	satisfy
satisfyed	satisfied
satten	satin
sattin	satin
sattins	satins
satyre	satire
satyrist	satirist
satyrists	satirists
saue	save
savior	saviour
saviors	saviours
savor	savour
savored	savoured
savories	savouries
savoring	savouring
savors	savours
savory	savoury
sawcy	saucy
sawe	saw
sayd	said
saye	say
sayst	sayest
scandalize	scandalise
scandalized	scandalised
scandalizes	scandalises
scandalizing	scandalising
scape	escape
scapes	escapes
scepter	sceptre
sceptered	sceptred
scepters	sceptres
schismaticks	schismatics
scholastick	scholastic
scientifick	scientific
scituation	situation
scotish	scottish
scribler	scribbler
scriblers	scribblers
scribling	scribbling
scrophulous	scrofulous
scrutinize	scrutinise
scrutinized	scrutinised
scrutinizes	scrutinises
scrutinizing	scrutinising
sculk	skulk
sculking	skulking
sculks	skulks
seale	seal
secresy	secrecy
secularization	secularisation
secularize	secularise
secularized	secularised
secularizes	secularises
secularizing	secularising
securitie	security
seeke	seek
seeme	seem
seene	seen
seenes	scenes
seige	siege
seised	seized
selden	seldom
selfe	self
sence	sense
sences	senses
sene	seen
sensationalize	sensationalise
sensationalized	sensationalised
sensationalizes	sensationalises
sensationalizing	sensationalising
sensitize	sensitise
sensitized	sensitised
sensitizes	sensitises
sensitizing	sensitising
sensless	senseless
sentimentalitie	sentimentality
sentimentalize	sentimentalise
sentimentalized	sentimentalised
sentimentalizes	sentimentalises
sentimentalizing	sentimentalising
seperate	separate
seperated	separated
sepulcher	sepulchre
sepulchers	sepulchres
sequestred	sequestered
seraphick	seraphic
serialization	serialisation
serializations	serialisations
serialize	serialise
serialized	serialised
serializes	serialises
serializing	serialising
serjeant	sergeant
serjeants	sergeants
sermone	sermon
sermonize	sermonise
sermonized	sermonised
sermonizes	sermonises
sermonizing	sermonising
serv	serve
servent	servant
sese	seize
setled	settled
